Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.222441831,0.20788602,0.115096638,0.095780705,0.083458019,0.075540328,0.06872788,0.061735408,0.056237094,0.042221173,0.038899898,0.037322959,0.049219876,0.05381762,0.043925733,0.063577848,0.069338674,0.068385493,0.134885275,0.178123619,0.252083458,0.305259738,0.265190802,0.189816757,0.149150528,0.176179957,0.153120981,0.134186907,0.165366907,0.160850161
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.820941281,1.242075554,0.682877539,0.637092394,0.646446369,0.604968844,0.613538432,0.466190915,0.573403483,0.956748922,1.024947338,1.056868354,1.233001531,1.337603171,1.403827431,1.33933834,1.341532815,1.393359028,1.385905947,1.439990654,1.527520742,1.670352593,1.50296459,1.532179288,1.668475763,1.603809903,1.556656042,1.790456582,1.781692283,1.691968057
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.466385198,2.541866591,2.499037042,2.640160001,2.634749049,2.684213812,2.626381275,2.525238218,2.49459075,2.554069334,2.601091334,2.520628756,2.605710423,2.751117478,2.752777237,2.857944775,2.985167076,3.023517628,3.116791196,3.18708325,3.184370944,3.305246199,3.621386505,3.658489731,3.811544367,3.951983699,3.840078748,3.849017854,3.948266567,4.010025157
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.592152178,7.336724754,7.099907477,6.937047806,6.663237053,6.754131706,7.08273185,7.194088,7.531924033,7.812961694,7.927016355,7.725626659,7.498764979,7.238069466,7.286756008,7.206273645,6.805400082,6.890389929,7.081822365,6.995396198,7.223590934,6.957586407,6.86229282,6.674233189,6.445930663,6.485769241,6.465288117,6.302097864,6.59405703,6.573595484
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.554941321,0.545814756,0.544412918,0.710968556,0.839273806,0.914278945,1.073637226,1.086338605,1.091185554,1.109803675,0.988428615,0.941824399,0.89572822,0.92499358,0.929816407,0.81288537,0.821268761,0.811418288,0.888614455,0.939461803,0.975921052,0.983791203,0.947587077,1.03104746,1.09220849,1.12518892,1.020928119,0.802658102,0.766050321,0.779292238
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,3.360282971,3.399126253,4.443310289,3.868821582,3.751192748,3.935787596,3.985787558,4.135190542,4.461775892,4.426924588,4.380787423,4.609328872,5.040481896,5.198847262,5.008804044,5.088332144,5.4230793,5.605003902,5.717649037,16.49395509,5.722620923,6.197465669,7.948764742,5.350463858,5.347617553,5.459134321,5.535312045,5.500499347,5.563922904,5.60265749
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.073854229,3.199291918,3.215216387,3.240418559,3.244938573,3.230465422,3.462905039,3.521415069,3.661647834,3.66969924,3.567994021,3.34195444,3.100565215,3.334956191,3.65607194,3.736629843,3.923912269,4.082797844,4.152211331,3.848316273,4.099812268,4.28094332,4.264223621,4.342124547,4.209053305,4.301851207,4.201802105,4.071396742,3.975666477,3.740545568
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,5.579919129,5.71910181,3.047987791,1.457561849,0.811127088,1.055501083,0.781169954,1.021177972,1.070991035,0.970764466,1.123867493,1.149647972,1.00440027,1.133360699,1.227695063,1.463912004,1.4833044,1.732263389,1.90569819,1.521710382,1.471883482,1.685606164,1.961453064,1.896163384,1.895893672,1.85625279,1.767966404,1.88339587,2.013779381,2.187334477
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
